id,name,region,platforms,missing_dedicated_destinations,model,score_breakdown,official_url,english_description,english_features,last_verified,pricing_source,pricing_last_checked,latest_major_update,available_countries,free_trial_requirements,affiliate_disclosure,logo,missing_count,action
finchat,FinChat.io,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
wealthfront,Wealthfront,overseas,web;ios;android,app,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
betterment,Betterment,overseas,web;ios;android,app,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
alpaca,Alpaca,overseas,web;api,api,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
hirevue,HireVue,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
eightfold,Eightfold AI,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
seekout,SeekOut,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
textio,Textio,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
fetcher,Fetcher,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
shopify-magic,Shopify Magic,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
pebblely,Pebblely,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
flair,Flair AI,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
heyday,Heyday,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
unity-muse,Unity Muse,overseas,web;desktop,desktop,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
inworld,Inworld AI,overseas,web;api,api,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
